bound,build,chunk_size,t1,t2,t4,t8,s2,s4,s8
100000,serial,1,0.0161969,0.0161969,0.0161969,0.0,0.0,0.0
500000,serial,1,0.1356666,0.1356666,0.1356666,0.0,0.0,0.0
1000000,serial,1,0.3551247,0.3551247,0.3551247,0.0,0.0,0.0
1500000,serial,1,0.6246199,0.6246199,0.6246199,0.0,0.0,0.0
2000000,serial,1,0.9353875,0.9353875,0.9353875,0.0,0.0,0.0
100000,parallel,1,0.0037067,0.0038372000000000002,0.0048049,0.006171,4.22102053580736,3.370913026285667,2.6246799546264787
100000,parallel,2,0.0037751,0.0037515,0.0048559,0.0057477,4.317446354791417,3.3355093803414406,2.8179793656593075
100000,parallel,4,0.0039407999999999995,0.0034506,0.0043073,0.0056635,4.693937286269055,3.760337102128944,2.8598746358259026
100000,parallel,8,0.0034943,0.003283,0.005182,0.0061323,4.933566859579653,3.1256078734079504,2.6412439052231624
100000,parallel,16,0.0033377,0.0035394,0.0046037,0.0062052,4.576171102446743,3.518235332449986,2.61021401405273
100000,parallel,32,0.0035264,0.0035892,0.0045211,0.0056633,4.5126769196478325,3.582513105217757,2.8599756325817105
100000,parallel,64,0.0034914,0.0031533,0.0042438,0.005775,5.13649192909016,3.816603044441303,2.804658008658009
100000,parallel,128,0.0035037000000000002,0.0031641,0.0050743,0.0059468,5.118959577763029,3.1919476578050174,2.7236328781865877
100000,parallel,256,0.0033308,0.0035757000000000002,0.0046228,0.0053695999999999995,4.529714461504041,3.5036990568486632,3.0164071811680575
100000,parallel,512,0.0033502000000000002,0.0036334,0.0042508,0.0057144,4.457780591181813,3.81031805777736,2.8344008119837607
100000,parallel,1024,0.0034438,0.0035598,0.0042359,0.0056583,4.549946626214956,3.823721051016313,2.8625028718873162
100000,parallel,2048,0.003502,0.0034253,0.004813,0.005742,4.728607713193005,3.3652399750675257,2.8207767328456987
100000,parallel,4096,0.0035018000000000002,0.0030536,0.0046076,0.0059581,5.304198323290542,3.515257400816043,2.718467296621406
100000,parallel,8192,0.0033541,0.0035166,0.0045591,0.0056042999999999996,4.605840869021214,3.552652935886469,2.8900843994789716
100000,parallel,1,0.0033598,0.0035716,0.004938,0.0053196,4.534914324112443,3.2800526528959093,3.044759004436424
100000,parallel,2,0.0033221,0.0034691,0.0047863,0.0056491,4.668905479807442,3.384012702922926,2.8671646810996445
100000,parallel,4,0.0033609,0.0033557,0.0044733,0.0054941,4.82668295735614,3.6207944917622332,2.948053366338436
100000,parallel,8,0.0034609,0.0032153,0.0049357,0.0056635999999999995,5.037445961496594,3.2815811333752047,2.8598241401228903
100000,parallel,16,0.003382,0.003536,0.0047704,0.0059157,4.580571266968326,3.3952917994298173,2.7379515526480382
100000,parallel,32,0.0034781,0.0035345,0.0046565,0.0056951,4.582515207242892,3.4783421024374532,2.8440062509876913
100000,parallel,64,0.0033733,0.0034217,0.0046445,0.0056436,4.7335827220387525,3.4873290989342234,2.869958891487703
100000,parallel,128,0.0034729,0.003097,0.0042380000000000004,0.0058221,5.229867613819826,3.821826333176026,2.7819687054499234
100000,parallel,256,0.0032979,0.0031724,0.0047039,0.0059252,5.105566763333753,3.4432917366440616,2.7335617363126983
100000,parallel,512,0.0033544,0.0030943,0.0044436,0.0056475,5.234431050641502,3.6449950490593213,2.867976980965029
100000,parallel,1024,0.003223,0.0037469,0.0051723,0.0056352,4.322746804024661,3.1314695589969643,2.874236939239069
100000,parallel,2048,0.0034008,0.0037526,0.00443,0.0057931,4.316180781324948,3.6561851015801357,2.7958951166042363
100000,parallel,4096,0.0033701,0.0031379,0.0044927,0.0056825,5.161700500334619,3.6051594809357406,2.850312362516498
100000,parallel,8192,0.0034361,0.0031776,0.0045096,0.0057545,5.097211732124874,3.5916489267340785,2.814649404813624
100000,parallel,1,0.0036204,0.0033401999999999998,0.0047882,0.0059694,4.849080893359679,3.3826698968297064,2.7133212718196136
100000,parallel,2,0.0034138,0.0033996,0.0039541,0.005337,4.764354629956466,4.096229230419058,3.034832302791831
100000,parallel,4,0.003323,0.0032002,0.0044466,0.0055817,5.061214924067246,3.642535870103,2.901786194170235
100000,parallel,8,0.0032893,0.0031975,0.0044282,0.0058461,5.065488663017983,3.6576712885596856,2.7705478866252715
100000,parallel,16,0.0033388,0.0036478,0.0045139,0.0059871,4.440183124074784,3.588227475132369,2.7052997277479913
100000,parallel,32,0.0033987,0.0035858,0.0047245,0.0049518,4.516955769981594,3.428278124669277,3.2709115877054806
100000,parallel,64,0.0033585,0.0033197,0.0046975,0.0062501,4.879025213121667,3.4479829696647153,2.5914625365994146
100000,parallel,128,0.0033871,0.0035553,0.0043232,0.0053175,4.555705566337581,3.7465072168763878,3.045961448048895
100000,parallel,256,0.0033347,0.0034023,0.0044629000000000005,0.005834,4.760573729535902,3.629232113648076,2.7762941378128216
100000,parallel,512,0.0035315,0.0029435,0.0040599,0.006028,5.502598946832003,3.989482499568955,2.6869442601194424
100000,parallel,1024,0.0035347,0.0032863,0.0049996,0.005783,4.928612725557619,3.2396391711336907,2.80077814283244
100000,parallel,2048,0.0036287,0.0035895,0.0046025,0.0051874,4.512299763198217,3.519152634437806,3.122354165863438
100000,parallel,4096,0.0036152,0.0035934,0.0040574,0.0054856,4.507402460065676,3.991940651648839,2.9526214087793496
100000,parallel,8192,0.0033682,0.0033696,0.0048354999999999995,0.0054014,4.806772317188984,3.3495812222107335,2.9986484985374164
500000,parallel,1,0.0220483,0.0184303,0.0211838,0.0265795,7.3610630320721855,6.40426174718417,5.1041817942399215
500000,parallel,2,0.021828900000000002,0.0183996,0.0193766,0.0242375,7.373345072718973,7.001568902697067,5.597384218669418
500000,parallel,4,0.0213964,0.016974,0.0197645,0.0262668,7.992612230470131,6.864155430190492,5.164945863218969
500000,parallel,8,0.0210369,0.0160312,0.0177492,0.0256452,8.462660312390838,7.643533229666689,5.290136165832203
500000,parallel,16,0.020804800000000002,0.0155753,0.0186151,0.0261019,8.710368339614647,7.287986634506396,5.197575655412058
500000,parallel,32,0.0206066,0.0152366,0.0180604,0.026578,8.903994329443577,7.511826980576288,5.104469862292121
500000,parallel,64,0.0210156,0.015526,0.0198451,0.0255691,8.738026536132939,6.836276965094657,5.30588092658717
500000,parallel,128,0.0203017,0.0167205,0.0201892,0.0255918,8.113788463263658,6.71976106036891,5.301174594987456
500000,parallel,256,0.0205054,0.0163465,0.0187078,0.0251282,8.299428012112685,7.251873550070024,5.398978040607763
500000,parallel,512,0.020374,0.0149977,0.020031,0.025626,9.045827026810779,6.772832110229145,5.294099742449075
500000,parallel,1024,0.0203933,0.0156735,0.0184706,0.0238727,8.655794812900757,7.345002328023995,5.682918144994073
500000,parallel,2048,0.0210089,0.0151671,0.0187658,0.0251426,8.944794983879582,7.229459975061015,5.395885867014549
500000,parallel,4096,0.020545,0.0159012,0.0189279,0.0238036,8.531846653082786,7.167546320510991,5.699415214505368
500000,parallel,8192,0.0201134,0.0158479,0.0197472,0.0245038,8.56054114425255,6.870168935342733,5.536553514148826
500000,parallel,1,0.0203045,0.0167654,0.0191649,0.0245055,8.092058644589452,7.078909882128266,5.536169431352145
500000,parallel,2,0.020092699999999998,0.0157125,0.0188561,0.0247354,8.634310262529832,7.194838805479393,5.48471421525425
500000,parallel,4,0.0201944,0.0161617,0.0202281,0.0242379,8.394327329426979,6.706838506829609,5.5972918445904964
500000,parallel,8,0.020131,0.0159479,0.019156799999999998,0.0248388,8.50686297255438,7.081903031821599,5.461882216532199
500000,parallel,16,0.0203082,0.015842000000000002,0.019115,0.024315299999999998,8.563729327105163,7.097389484697882,5.579474651762471
500000,parallel,32,0.0201526,0.0153338,0.0189279,0.0229818,8.84755246579452,7.167546320510991,5.903219069002428
500000,parallel,64,0.0201637,0.016076,0.0188705,0.0237007,8.439076884797213,7.189348453936038,5.724160045905816
500000,parallel,128,0.0202092,0.0155958,0.019042299999999998,0.0247008,8.698918939714538,7.124486012719053,5.492397007384376
500000,parallel,256,0.019826,0.0154895,0.0185867,0.0244521,8.75861712773169,7.299122490813323,5.548259658679623
500000,parallel,512,0.0202377,0.0156528,0.0186925,0.0248471,8.667241643667586,7.257809281797512,5.46005771297254
500000,parallel,1024,0.0203395,0.0160316,0.0181422,0.0244336,8.462449162903265,7.47795746932566,5.552460546133194
500000,parallel,2048,0.020266799999999998,0.0161358,0.018465,0.0233769,8.40780128658015,7.347229894394801,5.803446992543922
500000,parallel,4096,0.020246,0.0158975,0.0198272,0.0239649,8.53383236357918,6.84244875726275,5.661054291901906
500000,parallel,8192,0.020184300000000002,0.0159317,0.0187701,0.0239822,8.515513096530816,7.227803794332475,5.656970586518335
500000,parallel,1,0.0210781,0.0156524,0.0190783,0.024508,8.667463136643581,7.111042388472768,5.535604700505957
500000,parallel,2,0.0201317,0.0156901,0.0186425,0.0254685,8.646637051389094,7.27727504358321,5.326839036456799
500000,parallel,4,0.0204538,0.015523499999999999,0.0180408,0.024004499999999998,8.739433761716109,7.519988027138487,5.651715303380617
500000,parallel,8,0.0204182,0.0157779,0.0186228,0.0251481,8.598520715684597,7.284973258586249,5.394705763059635
